Age [ka BP],Depth [m],Al [ppm],Ba [ppm],Mo [ppm],Ti [ppm],U [ppm]
0.231,0.011,61329,240,8,5489,5
0.257,0.012,61292,145,8,5333,4
0.283,0.013,60749,183,7,5244,3
0.309,0.014,61106,148,8,5622,4
0.335,0.015,63183,142,5,5519,3
0.361,0.016,63200,266,5,5566,4
0.387,0.017,62961,155,4,5564,3
0.412,0.018,61633,174,4,5266,3
0.438,0.019,64332,159,5,5369,3
0.464,0.020,63704,191,5,5440,1
0.490,0.021,65464,172,4,5421,3
0.516,0.022,65522,216,3,5404,6
0.542,0.023,62848,178,5,5417,4
0.568,0.024,64648,212,4,5654,2
0.594,0.025,63441,164,3,5601,2
0.620,0.026,63373,209,3,5312,3
0.646,0.027,62689,134,4,5715,3
0.671,0.028,64605,186,4,5624,2
0.697,0.029,64753,169,6,5728,3
0.723,0.030,65669,228,5,5588,3
0.749,0.031,65203,150,2,5760,2
0.775,0.032,65865,207,9,5809,3
0.801,0.033,65935,195,7,5937,4
0.827,0.034,65290,237,5,5692,3
0.853,0.035,65418,220,6,5783,1
0.879,0.036,65230,174,6,5819,3
0.905,0.037,66893,151,4,5923,3
0.931,0.038,67306,188,4,6069,3
0.957,0.039,65443,213,5,5754,3
0.983,0.040,64640,207,5,5850,3
1.008,0.041,65053,206,3,5429,4
1.034,0.042,60044,175,6,5246,2
1.060,0.043,59320,166,4,5122,1
1.086,0.044,62372,158,3,5340,3
1.112,0.045,61821,207,5,5058,2
1.138,0.046,61724,145,3,5380,1
1.164,0.047,61523,212,4,5123,4
1.188,0.048,59683,185,5,4772,4
1.210,0.049,60096,166,3,4943,2
1.231,0.050,63434,143,3,5288,2
1.253,0.051,64905,160,5,5464,3
1.275,0.052,64149,176,4,5429,3
1.295,0.053,63864,161,3,5293,3
1.312,0.054,63708,185,4,5090,3
1.330,0.055,63508,174,3,5183,3
1.347,0.056,63145,202,3,4919,4
1.365,0.057,62559,200,7,5189,3
1.383,0.058,59148,185,3,4791,3
1.400,0.059,60488,181,3,5060,4
1.418,0.060,57427,182,3,4709,2
1.436,0.061,56347,211,2,4680,2
1.454,0.062,54741,146,4,4618,4
1.471,0.063,56958,190,4,4656,1
1.489,0.064,58463,131,3,4804,3
1.506,0.065,52731,148,3,4359,2
1.524,0.066,52161,277,8,4215,4
1.542,0.067,47011,143,6,3978,2
1.559,0.068,49683,152,4,4061,3
1.576,0.069,47912,108,5,3896,2
1.594,0.070,50643,180,5,3887,2
1.611,0.071,50650,102,2,4225,2
1.628,0.072,53476,106,3,4252,2
1.646,0.073,47775,117,4,3871,2
1.663,0.074,47571,146,2,3659,2
1.681,0.075,47726,163,4,3792,2
1.698,0.076,48030,131,4,3899,3
1.715,0.077,48256,137,5,3902,1
1.733,0.078,47016,189,6,3580,4
1.751,0.079,45799,84,3,3856,2
1.768,0.080,48698,128,5,3729,2
1.786,0.081,44435,79,4,3628,2
1.803,0.082,46171,174,3,3519,2
1.821,0.083,44930,113,5,3596,2
1.838,0.084,47775,130,6,3674,4
1.856,0.085,44656,137,3,3572,2
1.874,0.086,46795,160,4,3532,2
1.891,0.087,49525,133,5,3714,4
1.909,0.088,47946,155,6,3601,2
1.926,0.089,45905,113,6,3498,2
1.944,0.090,48125,116,5,3511,3
1.961,0.091,47069,130,2,3455,2
1.979,0.092,47793,136,5,3612,2
1.996,0.093,48299,184,4,3689,3
2.014,0.094,47258,127,3,3635,3
2.032,0.095,48251,170,6,3559,6
2.049,0.096,47400,198,4,3471,2
2.067,0.097,45154,149,7,3564,3
2.085,0.098,48185,147,5,3735,3
2.103,0.099,46081,117,4,3739,2
2.121,0.100,46958,148,7,3697,3
2.139,0.101,48562,148,5,3707,3
2.157,0.102,45014,130,4,3617,2
2.175,0.103,46109,111,4,3619,2
2.194,0.104,45401,143,4,3418,2
2.212,0.105,46750,153,3,3509,2
2.231,0.106,45206,164,4,3358,1
2.249,0.107,44897,142,2,3458,2
2.268,0.108,44969,108,5,3633,4
2.286,0.109,46916,180,5,3607,3
2.305,0.110,43225,130,4,3553,2
2.324,0.111,43875,154,6,3469,2
2.342,0.112,46410,199,6,3422,3
2.361,0.113,43565,139,6,3354,3
2.380,0.114,43600,154,5,3437,2
2.399,0.115,46310,178,4,3440,4
2.417,0.116,45204,157,3,3413,3
2.436,0.117,46548,146,5,3454,2
2.455,0.118,45869,128,4,3576,3
2.474,0.119,46729,141,4,3521,2
2.492,0.120,45526,111,3,3603,1
2.511,0.121,44859,144,3,3478,3
2.530,0.122,45604,126,2,3470,2
2.548,0.123,44746,127,2,3413,1
2.567,0.124,44642,129,3,3385,2
2.586,0.125,46663,131,4,3503,2
2.605,0.126,47751,166,4,3461,4
2.624,0.127,46573,135,4,3531,2
2.642,0.128,46129,138,2,3462,2
2.661,0.129,45391,159,2,3486,1
2.679,0.130,47246,140,3,3484,3
2.698,0.131,45686,88,3,3579,2
2.717,0.132,44875,119,3,3387,2
2.735,0.133,48029,110,3,3551,2
2.754,0.134,44378,129,2,3384,1
2.773,0.135,46931,105,3,3513,3
2.792,0.136,45890,179,3,3506,3
2.810,0.137,45450,124,2,3438,1
2.829,0.138,48503,102,2,3611,2
2.848,0.139,47129,148,3,3522,3
2.866,0.140,45864,136,4,3485,1
2.885,0.141,46853,110,2,3634,1
2.904,0.142,49151,130,2,3750,1
2.922,0.143,47409,123,2,3646,1
2.941,0.144,48577,108,2,3708,2
2.959,0.145,47198,126,2,3550,1
2.978,0.146,46900,106,3,3556,2
2.997,0.147,47170,170,2,3489,2
3.014,0.148,47644,133,2,3607,2
3.030,0.149,47508,111,2,3684,2
3.046,0.150,49906,108,2,3719,2
3.062,0.151,49727,101,3,3736,2
3.078,0.152,48071,136,3,3622,3
3.093,0.153,48923,118,3,3762,2
3.106,0.154,50749,127,2,3906,1
3.119,0.155,51638,141,3,3771,2
3.133,0.156,49148,126,2,3819,1
3.146,0.157,51520,104,3,3882,2
3.159,0.158,51070,151,4,3746,2
3.173,0.159,48418,117,3,3751,2
3.186,0.160,50392,161,3,3711,2
3.199,0.161,49551,115,2,3925,1
3.213,0.162,48255,116,4,3807,2
3.226,0.163,52074,155,2,3972,2
3.240,0.164,50745,123,3,4037,1
3.253,0.165,48645,143,2,3924,1
3.266,0.166,50913,106,2,4006,1
3.280,0.167,52603,193,2,4020,2
3.293,0.168,53214,156,5,3966,3
3.306,0.169,50966,127,3,3872,2
3.320,0.170,49719,134,3,3783,2
3.333,0.171,49104,91,3,3875,2
3.347,0.172,49604,121,3,3837,1
3.360,0.173,50821,112,3,3979,2
3.373,0.174,49237,99,3,4037,0
3.387,0.175,51542,127,4,4021,1
3.400,0.176,54135,102,3,4205,3
3.413,0.177,53052,161,3,3969,3
3.427,0.178,51865,95,4,4082,1
3.440,0.179,50992,105,3,4130,1
3.454,0.180,51024,111,4,4135,3
3.467,0.181,49579,145,4,3796,2
3.481,0.182,48999,117,5,4038,1
3.494,0.183,52423,123,4,4084,1
3.508,0.184,52325,146,3,3992,2
3.522,0.185,49155,113,2,3910,2
3.535,0.186,52507,191,2,3833,2
3.549,0.187,52670,153,3,4028,1
3.563,0.188,49739,146,2,3802,1
3.576,0.189,53087,92,3,4114,2
3.590,0.190,48811,117,3,3823,1
3.604,0.191,49216,153,2,3789,1
3.617,0.192,49411,138,3,3968,1
3.631,0.193,52489,149,3,4046,2
3.644,0.194,50175,96,2,3997,2
3.657,0.195,52867,164,2,4095,2
3.671,0.196,51375,126,2,3962,1
3.684,0.197,55618,130,3,4206,1
3.697,0.198,58016,162,4,4413,3
3.711,0.199,53780,171,4,4177,3
3.725,0.200,52573,125,4,4334,1
3.738,0.201,53783,126,4,4244,2
3.752,0.202,53726,191,4,4253,2
3.765,0.203,53119,114,3,4312,2
3.779,0.204,55532,205,4,4278,3
3.792,0.205,54455,137,3,4441,1
3.806,0.206,55081,120,3,4532,2
3.819,0.207,53676,100,3,4414,1
3.833,0.208,56589,136,4,4378,1
3.846,0.209,54720,189,4,4146,2
3.860,0.210,57783,139,3,4498,2
3.873,0.211,57119,214,4,4264,3
3.887,0.212,50843,153,3,4016,2
3.900,0.213,53560,179,4,4183,3
3.914,0.214,50703,118,2,4092,2
3.927,0.215,52903,149,2,4263,3
3.941,0.216,53558,164,3,4106,2
3.954,0.217,53083,186,4,4028,2
3.968,0.218,56084,146,4,4370,2
3.981,0.219,56539,137,5,4561,2
3.994,0.220,58657,134,4,4624,1
4.008,0.221,57174,170,2,4464,2
4.021,0.222,56185,138,4,4522,2
4.034,0.223,57923,166,4,4453,3
4.048,0.224,59132,189,4,4585,3
4.061,0.225,58611,166,4,4632,1
4.075,0.226,58162,203,5,4477,2
4.088,0.227,58918,187,3,4621,1
4.102,0.228,60061,165,3,4636,1
4.115,0.229,61150,168,4,4684,2
4.128,0.230,59177,181,3,4643,2
4.142,0.231,57864,164,4,4658,2
4.155,0.232,63315,181,5,4963,3
4.168,0.233,62893,218,5,4820,3
4.182,0.234,63998,182,6,4997,2
4.195,0.235,62238,156,4,4916,2
4.208,0.236,61660,172,3,5025,2
4.221,0.237,61342,168,4,4864,1
