Age [ka BP],Mo [ppm],U [ppm],ID,Core,t_transition_start,t_transition_end,tsid
8.00274,13.70804051,7.297332821,S1,MS21,10.5,9.7,1
8.00958,8.240687181,8.930779837,S1,MS21,10.5,9.7,1
8.01643,13.70755123,6.834669167,S1,MS21,10.5,9.7,1
8.02329,13.31325077,7.908346002,S1,MS21,10.5,9.7,1
8.03015,12.64461587,9.497315916,S1,MS21,10.5,9.7,1
8.03701,16.52661497,9.554043892,S1,MS21,10.5,9.7,1
8.04387,9.804242221,4.550670197,S1,MS21,10.5,9.7,1
8.05074,12.32217073,4.30960132,S1,MS21,10.5,9.7,1
8.05762,10.73860794,6.460267206,S1,MS21,10.5,9.7,1
8.0645,10.70145045,8.178152531,S1,MS21,10.5,9.7,1
8.07138,13.33354942,6.50551819,S1,MS21,10.5,9.7,1
8.07826,11.64871861,4.900125372,S1,MS21,10.5,9.7,1
8.08514,13.33570659,7.474859985,S1,MS21,10.5,9.7,1
8.09202,11.82711153,6.59432973,S1,MS21,10.5,9.7,1
8.0989,8.928832642,8.465735639,S1,MS21,10.5,9.7,1
8.10578,9.816388666,9.753670899,S1,MS21,10.5,9.7,1
8.11266,9.262078151,8.819999388,S1,MS21,10.5,9.7,1
8.11955,9.322840821,3.348841137,S1,MS21,10.5,9.7,1
8.12645,12.15805831,3.820206277,S1,MS21,10.5,9.7,1
8.13335,10.03028268,4.271636604,S1,MS21,10.5,9.7,1
8.14025,9.985898838,4.876965141,S1,MS21,10.5,9.7,1
8.14715,12.16022738,3.95597021,S1,MS21,10.5,9.7,1
8.15412,12.04216637,4.001758339,S1,MS21,10.5,9.7,1
8.16116,11.98687714,5.978900866,S1,MS21,10.5,9.7,1
8.1682,9.64157152,11.73877908,S1,MS21,10.5,9.7,1
8.17524,13.93705911,9.949070204,S1,MS21,10.5,9.7,1
8.18228,9.203319193,3.403826141,S1,MS21,10.5,9.7,1
8.18931,14.23304936,14.17554895,S1,MS21,10.5,9.7,1
8.19633,12.03724241,8.650348004,S1,MS21,10.5,9.7,1
8.20335,13.46727429,6.720946471,S1,MS21,10.5,9.7,1
8.21037,10.02296669,6.719334812,S1,MS21,10.5,9.7,1
8.21739,11.09809866,6.02107087,S1,MS21,10.5,9.7,1
8.22437,12.88911229,11.96402295,S1,MS21,10.5,9.7,1
8.23131,8.948774025,7.583327197,S1,MS21,10.5,9.7,1
8.23825,12.03023322,10.56137342,S1,MS21,10.5,9.7,1
8.24519,17.66037451,6.581699618,S1,MS21,10.5,9.7,1
8.25213,12.07106094,7.594130678,S1,MS21,10.5,9.7,1
8.25903,9.769423841,6.868132397,S1,MS21,10.5,9.7,1
8.26589,14.74650474,9.761940975,S1,MS21,10.5,9.7,1
8.27275,16.67519832,5.975614576,S1,MS21,10.5,9.7,1
8.27961,9.853155681,7.323359229,S1,MS21,10.5,9.7,1
8.28647,10.51280798,6.800961684,S1,MS21,10.5,9.7,1
8.29295,10.45439418,7.098828301,S1,MS21,10.5,9.7,1
8.29905,15.13358936,6.541087381,S1,MS21,10.5,9.7,1
8.30515,10.30663593,4.074483587,S1,MS21,10.5,9.7,1
8.31125,11.90889835,8.215114184,S1,MS21,10.5,9.7,1
8.31735,12.61884513,4.09410793,S1,MS21,10.5,9.7,1
8.32308,10.70942611,7.351749694,S1,MS21,10.5,9.7,1
8.32844,12.5210322,3.593138893,S1,MS21,10.5,9.7,1
8.3338,7.903114971,6.629615449,S1,MS21,10.5,9.7,1
8.33916,15.00035042,6.060207183,S1,MS21,10.5,9.7,1
8.34452,14.07647716,8.350584215,S1,MS21,10.5,9.7,1
8.34991,9.843496926,4.370712588,S1,MS21,10.5,9.7,1
8.35533,6.661930231,9.575567657,S1,MS21,10.5,9.7,1
8.36075,6.560804479,7.019720658,S1,MS21,10.5,9.7,1
8.36617,7.098990502,4.604366026,S1,MS21,10.5,9.7,1
8.37159,8.715822648,5.717947567,S1,MS21,10.5,9.7,1
8.37696,10.2991604,4.357334893,S1,MS21,10.5,9.7,1
8.38228,9.051527286,6.774327282,S1,MS21,10.5,9.7,1
8.3876,11.01817311,6.278568935,S1,MS21,10.5,9.7,1
8.39292,12.35492911,10.30601136,S1,MS21,10.5,9.7,1
8.39824,11.76922435,6.965944504,S1,MS21,10.5,9.7,1
8.40356,10.54666411,5.404746989,S1,MS21,10.5,9.7,1
8.40888,7.112100554,5.458105423,S1,MS21,10.5,9.7,1
8.4142,11.96444941,10.07566786,S1,MS21,10.5,9.7,1
8.41952,11.51843838,6.439397708,S1,MS21,10.5,9.7,1
8.42484,10.83486126,5.859654863,S1,MS21,10.5,9.7,1
8.43015,12.75271409,6.226320202,S1,MS21,10.5,9.7,1
8.43545,10.62426761,9.431092992,S1,MS21,10.5,9.7,1
8.44075,7.850739476,7.324978366,S1,MS21,10.5,9.7,1
8.44605,12.52308206,9.727704334,S1,MS21,10.5,9.7,1
8.45135,9.856568894,7.323659952,S1,MS21,10.5,9.7,1
8.45664,11.90441376,12.18611444,S1,MS21,10.5,9.7,1
8.46192,9.736067526,5.657766286,S1,MS21,10.5,9.7,1
8.4672,11.83039832,7.669602632,S1,MS21,10.5,9.7,1
8.47248,14.41631743,9.222920408,S1,MS21,10.5,9.7,1
8.47776,10.98009144,5.758130605,S1,MS21,10.5,9.7,1
8.483,12.77767189,4.394002183,S1,MS21,10.5,9.7,1
8.4882,9.892541415,6.512447448,S1,MS21,10.5,9.7,1
8.4934,10.75942162,8.330020007,S1,MS21,10.5,9.7,1
8.4986,7.907472052,5.49610473,S1,MS21,10.5,9.7,1
8.5038,9.140482376,3.475782292,S1,MS21,10.5,9.7,1
8.50903,9.591848255,6.449034209,S1,MS21,10.5,9.7,1
8.51429,7.36842251,4.428073384,S1,MS21,10.5,9.7,1
8.51955,9.337696685,4.685701587,S1,MS21,10.5,9.7,1
8.52481,7.521143794,4.174411638,S1,MS21,10.5,9.7,1
8.53007,10.70691561,3.293924173,S1,MS21,10.5,9.7,1
8.53531,7.14054042,4.854844679,S1,MS21,10.5,9.7,1
8.54053,9.349591044,6.327447533,S1,MS21,10.5,9.7,1
8.54575,16.19517886,8.18517962,S1,MS21,10.5,9.7,1
8.55097,14.58050303,8.983487789,S1,MS21,10.5,9.7,1
8.55619,13.53509615,5.156518343,S1,MS21,10.5,9.7,1
8.56144,13.38216892,4.520223849,S1,MS21,10.5,9.7,1
8.56672,13.39542666,4.643832978,S1,MS21,10.5,9.7,1
8.572,14.41740857,8.875306914,S1,MS21,10.5,9.7,1
8.57728,11.62682329,6.655673027,S1,MS21,10.5,9.7,1
8.58256,14.85333506,10.87027695,S1,MS21,10.5,9.7,1
8.58782,16.45113255,7.740364072,S1,MS21,10.5,9.7,1
8.59306,13.5802556,5.442491853,S1,MS21,10.5,9.7,1
8.5983,17.74295075,4.714155613,S1,MS21,10.5,9.7,1
8.60354,15.13937652,7.652134879,S1,MS21,10.5,9.7,1
8.60878,15.40385569,5.82515989,S1,MS21,10.5,9.7,1
8.61402,17.49327966,5.818323722,S1,MS21,10.5,9.7,1
8.61926,21.99168449,8.827986084,S1,MS21,10.5,9.7,1
8.6245,20.46237098,6.604569584,S1,MS21,10.5,9.7,1
8.62974,17.7386146,9.361370079,S1,MS21,10.5,9.7,1
8.63498,10.19947496,4.776458584,S1,MS21,10.5,9.7,1
8.64025,18.27794893,10.03224297,S1,MS21,10.5,9.7,1
8.64555,19.19855316,10.31398654,S1,MS21,10.5,9.7,1
8.65085,23.38214835,7.456730403,S1,MS21,10.5,9.7,1
8.65615,19.72570418,7.546309652,S1,MS21,10.5,9.7,1
8.66145,15.06849688,7.794494512,S1,MS21,10.5,9.7,1
8.6667,16.02439289,7.628040661,S1,MS21,10.5,9.7,1
8.6719,16.9917364,5.897470926,S1,MS21,10.5,9.7,1
8.6771,15.42167004,8.060980733,S1,MS21,10.5,9.7,1
8.6823,13.53981869,7.810530099,S1,MS21,10.5,9.7,1
8.6875,17.90928558,6.738456695,S1,MS21,10.5,9.7,1
8.69273,15.71673544,11.42805934,S1,MS21,10.5,9.7,1
8.69799,12.90647258,7.785872874,S1,MS21,10.5,9.7,1
8.70325,13.95645209,5.455613705,S1,MS21,10.5,9.7,1
8.70851,17.05936639,4.514997193,S1,MS21,10.5,9.7,1
8.71377,18.59548527,5.898515959,S1,MS21,10.5,9.7,1
8.719,17.22442551,11.17485584,S1,MS21,10.5,9.7,1
8.7242,20.46710682,8.409807054,S1,MS21,10.5,9.7,1
8.7294,16.27443615,8.611368043,S1,MS21,10.5,9.7,1
8.7346,15.48375907,9.314762194,S1,MS21,10.5,9.7,1
8.7398,15.2381625,7.337492199,S1,MS21,10.5,9.7,1
8.74501,14.52440756,7.079145797,S1,MS21,10.5,9.7,1
8.75023,13.90608632,5.977029313,S1,MS21,10.5,9.7,1
8.75545,12.94836545,8.12739242,S1,MS21,10.5,9.7,1
8.76067,9.931154295,6.99560205,S1,MS21,10.5,9.7,1
8.76589,11.83156845,8.400228116,S1,MS21,10.5,9.7,1
8.7711,20.69020987,8.647950902,S1,MS21,10.5,9.7,1
8.7763,11.89064251,7.43322042,S1,MS21,10.5,9.7,1
8.7815,12.20470377,9.198140004,S1,MS21,10.5,9.7,1
8.7867,16.83308144,12.78702512,S1,MS21,10.5,9.7,1
8.7919,13.56143769,3.937386922,S1,MS21,10.5,9.7,1
8.79709,13.52262562,4.687629638,S1,MS21,10.5,9.7,1
8.80227,13.92199263,9.776611106,S1,MS21,10.5,9.7,1
8.80745,12.38663844,7.315433662,S1,MS21,10.5,9.7,1
8.81263,16.60774378,7.279456575,S1,MS21,10.5,9.7,1
8.81781,12.83977948,4.022919302,S1,MS21,10.5,9.7,1
8.82302,12.04913097,8.369903686,S1,MS21,10.5,9.7,1
8.82826,9.845744913,10.13409448,S1,MS21,10.5,9.7,1
8.8335,13.79163418,11.60977764,S1,MS21,10.5,9.7,1
8.83874,15.64734311,10.5821519,S1,MS21,10.5,9.7,1
8.84398,14.6777987,9.705337783,S1,MS21,10.5,9.7,1
8.84923,13.1964202,9.702278681,S1,MS21,10.5,9.7,1
8.85449,11.91489411,7.716417091,S1,MS21,10.5,9.7,1
8.85975,13.76615235,13.27539495,S1,MS21,10.5,9.7,1
8.86501,9.716756637,9.226709226,S1,MS21,10.5,9.7,1
8.87027,10.35697817,5.691673614,S1,MS21,10.5,9.7,1
